CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
6438191,C/C/1=C/CC/C(=C\C/C=C(\C(CC1)C(=O)C)/C)/C,savory;herbal;animal,246.198365452,3
6438193,CCCCCC/C=C\C#N,green;flower,137.12044948,2
6438195,CC1=CCC(C1(C)C)C/C=C(\C)/CO,savory;animal;woody,194.167065324,3
6438200,CCCCC/C=C\C=C\C(=O)OCCC,fruity,210.161979944,1
6438203,CCCCC/C=C\C=C\C(=O)OCCCC,fruity;green,224.177630008,2
6438291,C1CC2C(C1)C\3CC2C/C3=C\CCC=O,flower,204.15141526,1
6438313,CC(C/C=C(\C)/CCCC(=C)C)C=O,animal;fruity;flower,194.167065324,3
6438319,C/C=C/CCC1CCCC(=O)O1,fruity;flower,168.115029752,2
6440618,C[C@@H]1CC[C@]2\3C[C@H]1C([C@@H]2CC/C3=C/C(=O)C)(C)C,animal,246.198365452,1
6440993,C/C=C/C(=O)OC(C)CC(C)C,fruity,170.130679816,1
6441026,CC(=CCC/C(=C/CCC1=CC=NC=C1)/C)C,savory;aquatic,229.183049736,2
6441135,CCCCCC(/C(=C/CC)/C)O,green;fruity;flower,170.167065324,3
6441136,CC(C)/C(=C/CC(C)C=O)/C,aquatic;fruity;green,154.135765196,3
6441164,C/C=C\1/CC2CC1C3C2OCCC3,earthy;herbal;fruity;flower,178.135765196,4
6441344,CCC(=O)/C(=C/C1C(=CCCC1(C)C)C)/C,flower,220.182715388,1
6441593,CCCCCCCCC/C=C/COC(=O)C,aquatic;fruity,226.193280072,2
6441804,CC1(C/C=C\CC/C=C\CCC2C1(O2)C)C,animal;woody;earthy,220.182715388,3
6441873,CC/C=C/CCOC(=O)/C(=C\CC)/C,aquatic;fruity;green,196.14632988,3
6441974,CCCCC(CCCCC(=O)O)OC(=O)CCCC/C=C/CCC,savory;flower;fruity;green,340.261359632,4
6442050,CC(=CCC/C(=C/COC/C=C(/C)\CCC=C(C)C)/C)C,flower,290.260965708,1
6442642,CC/C=C\C/C=C/C=C/C=O,fruity;green,150.104465068,2
6445555,COC(=O)C1=CC=CC=C1N=C/C=C/C2=CC=CC=C2,spices,265.11027872,1
6445771,C/C(=C/CC[C@@]1(C2C[C@H]3C1([C@H]3C2)C)C)/COC(=O)C,woody,262.193280072,1
6450204,CC/C=C(/C=O)\C1=CC=CC=C1,savory;flower,160.088815004,2
6450281,C/C=C/C(=O)[C@@H]1[C@@H](CCCC1(C)C)C,fruity;flower,194.167065324,2
6450361,C[C@@H]1CC/C=C(/[C@H](C[C@H]2[C@H]1C[C@H]2C)C(=O)C)\C,earthy,234.198365452,1
6450452,CCCCCCC(=O)OC/C=C(\C)/CCC=C(C)C,alcohol;flower,266.2245802,2
6450462,CCCCCC(=O)OC/C=C/CC,fruity;green,184.14632988,2
6450538,C=CCCCCCCC/C=C/CC#N,aquatic;fruity,191.167399672,2
6450542,CC[C@@H](/C=C/C1=C(CCCC1(C)C)C)OC(=O)C,fruity,250.193280072,1
6450832,CC1CCC2(O1)C(=C)C=CCC2(C)C,alcohol;green;earthy;fruity;flower,192.15141526,5
6452049,CC(C)C1CCC2(CC1)CCC(=O)O2,herbal;green,196.14632988,2
6452089,C[C@@H]1[C@H]2C[C@@H](C2(C)C)CC1=O,herbal;woody,152.120115132,2
