CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
7674,CCOC1=CC=CC=C1,aromatic,122.07316494,1
7678,CC(=O)CC1=CC=CC=C1,floral;green,134.07316494,2
7685,CC1=CC=C(C=C1)OC(=O)C(C)C,narcissus;lily;green;floral;oil,178.099379688,5
7687,CC(C)C1=CC=C(C=C1)C(C)CC=O,floral;green,190.135765196,2
7695,CC(=O)OCC1=CC=C(C=C1)OC,lilac;balsamic;fruit;plum;floral;vanilla,180.078644244,6
7707,C1=CC=C(C=C1)CCC=O,balsamic;green;earthy;oil;spice,134.07316494,5
7708,C1=CC=C(C=C1)COC=O,green;earthy;fruit;floral;herb,136.052429496,5
7710,CCCCCC1CCC(=O)O1,musk;oil;fat;amber,156.115029752,4
7710,CCCCCC1CCC(=O)O1,musk;fruit;floral;cream,156.115029752,4
7711,C1=CC=C(C=C1)CCOC=O,herb;green;hyacinth;rose,150.06807956,4
7712,C1=CC=C(C=C1)C=CCOC=O,herb;balsamic;green;fruit,162.06807956,4
7720,CCCCC(CC)CO,floral;oil;rose,130.135765196,3
7725,CC1=CC=C(C=C1)C=O,herb;almond,120.057514876,2
7725,CC1=CC=C(C=C1)C=O,floral;spice,120.057514876,2
7733,CC(C)COC(=O)CCC1=CC=CO1,brandy;wood;wine;fruit,196.109944372,4
7738,COC1=CC=C(C=C1)CO,lilac;floral;balsamic;vanilla,138.06807956,4
7742,CCCC1CCC(=O)O1,herb;fat;nut;caramel,128.083729624,4
7749,CCC(=O)OCC,ether;fruit,102.06807956,2
7755,CCC(C)CC(=O)O,herb;sour;green,116.083729624,3
7757,CC(=O)CC(=O)OC,green;ether;wine,116.047344116,3
7761,CCOC(=O)CC(=O)OCC,apple;balsamic;green;fruit,160.073558864,4
7762,CCCC(=O)OCC,pineapple;ether;banana;fruit,116.083729624,4
7765,CCOC(C)OCC,green;fruit,118.099379688,2
7770,CCCC(=O)OCCC,pineapple;ether;fruit,130.099379688,3
7772,CCC(=O)OCCC(C)C,pineapple;apricot;fruit,144.115029752,3
7775,CCCCCC(=O)OCC(C)C,pineapple;wine;fruit,172.14632988,3
7778,CC(CCC=C(C)C)CCOC=O,geranium;green;honey;fruit;leaf;rose,184.14632988,6
7778,CC(CCC=C(C)C)CCOC=O,green;leaf;rose,184.14632988,3
7779,CC(=CCCC(=CCOC=O)C)C,geranium;green;apple;fruit;leaf;rose,182.130679816,6
7781,CCC(=O)OCCC(C)CCCC(=C)C,geranium;balsamic;fruit;floral;rose,212.177630008,5
7793,C[C@@H](CCC=C(C)C)CCO,leaf;wax;rose,156.15141526,3
7794,CC(CCC=C(C)C)CC=O,citrus;wood;green;fruit,154.135765196,4
7797,CCCCCCC(=O)OCC,berry;fruit;oil;wine;brandy,158.130679816,5
7797,CCCCCCC(=O)OCC,citrus;wine,158.130679816,2
7799,CCCCCCCC(=O)OCC,banana;pineapple;apricot;fruit;wine,172.14632988,5
7800,CCCCCCCCCCCC(=O)OCC,oil;fat;leaf;fruit,228.208930136,4
7802,CCCCC(=O)CC,fat;green;fruit,114.104465068,3
7803,CCCOC(=O)CC,pineapple;apple;fruit;floral;ether,116.083729624,5
7820,COC(=O)CCC(=O)OC,green;ether;wine;fruit,146.0579088,4
7824,CCCCCC(=O)OC,apricot;ether;pineapple,130.099379688,3
7826,CCCCCCC(=O)OC,pear;banana;fruit,144.115029752,3
7826,CCCCCCC(=O)OC,berry;wax;green;fruit,144.115029752,4
7829,COC(=O)CCCCCCCCC(=O)OC,ether;fruit,230.151809184,2
7843,CCCC,ether,58.078250319999995,1
7848,CCCS,sulfur,76.034671256,1
7859,C#CCO,geranium;leaf;gasoline;green,56.026214748,4
7865,COC=O,ether;wine,60.021129368000004,2
7888,CC(CCCC(C)(C)O)CC=O,floral;lily,172.14632988,2
7895,CCCC(=O)C,ether;fruit,86.07316494,2
7904,CC(=O)OC=C,ether;fruit,86.036779432,2
7909,CC(C)CC(=O)C,ether;fruit,100.088815004,2
7910,CC(C)CC(C)O,herb;oil;green,102.104465068,3
7914,CC(C)OC(C)C,ether,102.104465068,1
7915,CC(C)OC(=O)C,fruit,102.06807956,1
7921,CC1CCC(=O)O1,herb;tobacco;hay,100.052429496,3
7936,CC1=CC(=NC=C1)C,tarry;mint,107.073499288,2
7937,CC1=NC(=CC=C1)C,herb;ether,107.073499288,2
7945,CCOC(=O)CC(C)C,apple;ether;fruit,130.099379688,3
7947,CC1=CC(=CC(=C1)C)C,herb;ether;gasoline;aromatic,120.093900384,4
7958,CC(C)CC(=O)CC(C)C,fruit,142.135765196,1
7966,C1CCC(CC1)O,camphor,100.088815004,1
7967,C1CCC(=O)CC1,camphor;mint,98.07316494,2
7968,C1=COC=CC1=O,herb;hay,96.021129368,2
7981,CCCCOC(=O)CC(C)C,apple;ether;fruit,158.130679816,3
7983,CCCCOC(=O)CCC,pineapple;banana;fruit,144.115029752,3
7984,C1CCCCCCCC(=O)OCCCCCCC1,animal;floral;musk;amber,254.2245802,4
7986,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,oil;fruit,314.245709568,2
7991,CCCCC(=O)O,acid;animal;fruit,102.06807956,3
7996,CC(C)OCCO,spice,104.083729624,1
7997,CCCOC(=O)C,pear;ether;fruit,102.06807956,3
8012,CCCCS,sulfur,90.05032132,1
8019,COCCO,wood;ether,76.052429496,2
8020,COCOC,ether,76.052429496,1
8023,CCOC=C,ether,72.057514876,1
8025,CCOC=O,ether;fruit,74.036779432,2
8026,CCON=O,ether,75.0320284,1
8027,C1=CNC=C1,ether,67.04219916,1
8028,C1CCOC1,gasoline,72.057514876,1
8029,C1=COC=C1,smoky;spice,68.026214748,2
8035,CC(=O)CCC(=O)C,ether,114.06807956,1
8038,CC(C)COC(=O)C,ether;fruit,116.083729624,2
8042,CCCCCCCCCCCCCC(=O)OC(C)C,oil;fat,270.255880328,2
8047,CCCCCCCCCCCCCC(=O)OCCCC,oil;fat,284.271530392,2
8048,CCCCCCCCCC(=O)OCC,oil;nut;wine,200.177630008,3
8049,CCOC(=O)CCCCCCCCC(=O)OCC,wine;fruit,258.183109312,2
8050,CCCCCCCCCC(=O)OC,oil;fat;wine;fruit,186.161979944,4
8051,CCCCCC(=O)C,spice;fruit,114.104465068,2
8052,CC(C)CCOC=O,green;apple;fruit;plum;ether;wine,116.083729624,6
8053,CC(C)CCON=O,ether;fruit,117.078978592,2
8063,CCCCC=O,nut;musk;fruit,86.07316494,3
8067,CCCCCS,sulfur;gasoline,104.065971384,2
8073,CCCOC=O,ether,88.052429496,1
8076,CCOCCO,earthy;mushroom,90.06807956,2
8082,C1CCNCC1,animal;floral,85.08914935199999,2
8091,CCCCCCCC(=O)OC,orange;wine;fruit,158.130679816,3
8093,CCCCCCC(=O)C,green;apple;musk;fruit;floral;herb,128.120115132,6
8094,CCCCCCC(=O)O,sour;fat,130.099379688,2
8103,CCCCCCO,fat;wine;fruit,102.104465068,3
8106,CCCCCCS,sulfur,118.08162144799999,1
8116,C=CCOCCO,earthy;mushroom,102.06807956,2
8125,CCCCCCC=C,ether,112.12520051199999,1
8129,CCCCCCCO,green;fat;wine,116.120115132,3
8130,CCCCCCC=O,oil;fat;fruit,114.104465068,3
8134,COCCOCCO,ether;musk,120.078644244,2
8137,CCCCCCC#CC(=O)OC,leaf;green;mimosa,168.115029752,3
8139,CCCCCCCCCCCC(=O)OC,floral;oil;wine;violet;fat,214.193280072,5
8146,CCOCCOCCO,ether;musk,134.094294308,2
8158,CCCCCCCCC(=O)O,acid;fat;nut,158.130679816,3
8159,CCCCCCCOC(=O)C,green;mushroom;earthy;fruit;floral;leaf;fat,158.130679816,7
8163,CCCCCCCCCC(=O)C,fruit;orris;oil;herb;rose;orange,170.167065324,6
8164,CCCCCCCCOC(=O)C,wax;green;apple;wood;fruit;floral;fat,172.14632988,7
8167,CCCCCCCCCCOC(=O)C,wax;pineapple;fruit;fat;rose;orange,200.177630008,6
8169,CCCCCCCOC=O,apple;fruit;plum;orris;fat,144.115029752,5
8172,C(COCCOCCO)O,musk,150.089208928,1
8174,CCCCCCCCCCO,lily;wax;orange-blossom;floral;oil;fat;rose,158.167065324,7
8175,CCCCCCCCCC=O,citrus;wax;orange,156.15141526,3
8176,CCCCCCCCOC=O,citrus;peach;apricot,158.130679816,3
8180,CCCCCCCCCCC(=O)O,aldehyde;oil;fat,186.161979944,3
8184,CCCCCCCCCCCO,citrus;fruit;floral;oil;fat;rose,172.182715388,6
8185,C=CCCCCCCCCCO,wax;citrus;fat;rose,170.167065324,4
8186,CCCCCCCCCCC=O,floral;wax;fruit,170.167065324,3
8187,C=CCCCCCCCCC=O,citrus;wax;aldehyde;rose,168.15141526,4
